epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.987,1.06354,3.95236,1.23254,0.00752,1,0.23212,0.17001,0.8673,3.99092,1.03517,0.000205479,0.000205479,0.000205479
2,494.297,0.80359,3.10087,1.10931,0.61273,0.36959,0.49275,0.40897,0.77529,2.83835,1.08228,0.000403571,0.000403571,0.000403571
3,752.77,0.72159,2.43044,1.0616,0.73665,0.54668,0.60815,0.51274,0.76299,3.10412,1.06905,0.00059135,0.00059135,0.00059135
4,1034.71,0.71219,2.1665,1.0572,0.56027,0.77156,0.76723,0.64611,0.74612,3.3512,1.06143,0.000578594,0.000578594,0.000578594
5,1285.22,0.66164,1.96001,1.00232,0.65187,0.78044,0.75007,0.65081,0.74002,2.67307,1.11453,0.000563125,0.000563125,0.000563125
6,1555.44,0.63773,1.704,1.01079,0.81956,0.83115,0.87472,0.74316,0.6787,1.83999,1.02763,0.000547656,0.000547656,0.000547656
7,1801.98,0.6238,1.56866,0.99449,0.86358,0.73221,0.89844,0.77987,0.68756,1.93014,1.02446,0.000532187,0.000532187,0.000532187
8,1916.35,0.61189,1.49789,0.99057,0.69605,0.82091,0.84481,0.74315,0.65715,1.86748,0.99889,0.000516719,0.000516719,0.000516719
9,2180.38,0.62336,1.52324,0.99179,0.83681,0.95547,0.96392,0.80979,0.69618,1.83791,1.02809,0.00050125,0.00050125,0.00050125
10,2397.75,0.56345,1.45081,0.99222,0.89702,0.91637,0.98055,0.86029,0.62783,1.46906,0.97483,0.000485781,0.000485781,0.000485781
11,2682.31,0.55841,1.31023,0.96477,0.88789,0.97606,0.97277,0.85069,0.65762,1.58779,0.98424,0.000470312,0.000470312,0.000470312
12,2969.51,0.54008,1.30913,0.95706,0.89476,0.98494,0.9761,0.8509,0.67089,1.47927,0.96937,0.000454844,0.000454844,0.000454844
13,3215.53,0.52097,1.18216,0.94726,0.91226,0.92058,0.96879,0.84216,0.60649,1.37375,0.99306,0.000439375,0.000439375,0.000439375
14,3596.66,0.54344,1.1894,0.94658,0.92967,0.95977,0.96879,0.84959,0.60759,1.3544,0.98996,0.000423906,0.000423906,0.000423906
15,3810.09,0.52294,1.13543,0.93191,0.94489,0.93516,0.96612,0.83818,0.62091,1.30004,0.97915,0.000408438,0.000408438,0.000408438
16,3998.77,0.53055,1.11248,0.94953,0.94334,0.95005,0.97336,0.85928,0.60163,1.29882,0.96577,0.000392969,0.000392969,0.000392969
17,4270.1,0.49308,1.04204,0.93399,0.95786,0.95734,0.96551,0.87381,0.55583,1.21065,0.94392,0.0003775,0.0003775,0.0003775
18,4637.11,0.47432,0.99009,0.91006,0.93241,0.94844,0.98348,0.8818,0.55503,1.21631,0.95423,0.000362031,0.000362031,0.000362031
19,4953.7,0.47291,0.96994,0.92271,0.94977,0.94789,0.96282,0.85818,0.557,1.22444,0.93222,0.000346563,0.000346563,0.000346563
20,5387.44,0.46268,0.858,0.91167,0.95395,0.95393,0.96001,0.84607,0.61554,1.14082,0.94493,0.000331094,0.000331094,0.000331094
21,5819.31,0.45951,0.9059,0.92369,0.94818,0.95312,0.95883,0.84171,0.59091,1.11692,0.94393,0.000315625,0.000315625,0.000315625
22,6347.5,0.43338,0.85425,0.91061,0.93176,0.95548,0.96155,0.84832,0.58665,1.09964,0.95425,0.000300156,0.000300156,0.000300156
23,6922.58,0.44363,0.88064,0.91847,0.92784,0.96556,0.9725,0.8649,0.56756,1.06336,0.94345,0.000284688,0.000284688,0.000284688
24,7525.06,0.44312,0.83463,0.91076,0.95173,0.95509,0.9725,0.86437,0.57451,1.0105,0.93114,0.000269219,0.000269219,0.000269219
25,8176.81,0.43264,0.84614,0.91227,0.92554,0.95494,0.97523,0.88292,0.5507,1.00526,0.92378,0.00025375,0.00025375,0.00025375
26,8840.48,0.45051,0.88065,0.92931,0.9415,0.95592,0.9761,0.88639,0.51973,0.99717,0.91944,0.000238281,0.000238281,0.000238281
27,9454.2,0.44209,0.79684,0.93531,0.92259,0.9591,0.97523,0.86824,0.57185,1.00858,0.95467,0.000222813,0.000222813,0.000222813
28,10096.9,0.4257,0.76697,0.91028,0.95098,0.95363,0.97523,0.85679,0.55231,0.96727,0.94413,0.000207344,0.000207344,0.000207344
29,10752.4,0.43797,0.81849,0.92001,0.92223,0.99002,0.9785,0.88183,0.5733,0.97729,0.93493,0.000191875,0.000191875,0.000191875
30,11175.8,0.41092,0.75232,0.89381,0.93553,0.96036,0.97012,0.87418,0.54212,0.94672,0.91101,0.000176406,0.000176406,0.000176406
31,11694.9,0.36628,0.91623,0.87213,0.93842,0.95203,0.97012,0.88012,0.50834,1.00646,0.91624,0.000160938,0.000160938,0.000160938
32,12158.6,0.38845,0.97464,0.88036,0.93222,0.95618,0.96212,0.88132,0.48288,0.96059,0.90381,0.000145469,0.000145469,0.000145469
33,12707.4,0.36489,0.8862,0.86411,0.95552,0.95794,0.96072,0.87175,0.49902,0.95531,0.90355,0.00013,0.00013,0.00013
34,12830.4,0.34956,0.87231,0.84531,0.95208,0.95594,0.95895,0.86755,0.52867,0.90924,0.91129,0.000114531,0.000114531,0.000114531
35,12961.2,0.35589,0.87847,0.87098,0.95837,0.95782,0.95927,0.86476,0.5282,0.88524,0.91006,9.90625e-05,9.90625e-05,9.90625e-05
36,13089.6,0.34639,0.83699,0.86333,0.95939,0.95571,0.96072,0.8735,0.53555,0.88674,0.91251,8.35938e-05,8.35938e-05,8.35938e-05
37,13219.4,0.35387,0.84743,0.85886,0.95604,0.95701,0.96144,0.87644,0.53295,0.87873,0.92013,6.8125e-05,6.8125e-05,6.8125e-05
38,13344.5,0.33032,0.8272,0.84375,0.95018,0.95722,0.96072,0.88201,0.49538,0.85764,0.91063,5.26562e-05,5.26562e-05,5.26562e-05
39,13468.6,0.33719,0.82118,0.84365,0.95012,0.95702,0.96079,0.88185,0.48312,0.84573,0.91182,3.71875e-05,3.71875e-05,3.71875e-05
40,13597.8,0.32243,0.80989,0.8308,0.95255,0.95678,0.96103,0.88523,0.4834,0.84273,0.91153,2.17188e-05,2.17188e-05,2.17188e-05
